old_region,old_area,new_center,new_unit,unit_type,primary_kabkota
Sumatra 1,Batam,Pekanbaru,SME Banking Floor Batam,existing,
Sumatra 1,Dumai,Pekanbaru,SME Banking Floor Dumai,existing,
Sumatra 1,Pekanbaru,Pekanbaru,SME Banking Center Pekanbaru,existing,
Sumatra 1,Medan Balaikota,Medan,SME Banking Center Medan,existing,
Sumatra 1,Medan Imam Bonjol,Medan,SME Banking Floor Medan Imam Bonjol,existing,
Sumatra 1,Pematangsiantar,Medan,SME Banking Floor Pematangsiantar,existing,
Sumatra 1,Rantau Prapat,Medan,SME Banking Floor Rantau Prapat,existing,
Sumatra 2,Bandar Lampung,Palembang,SME Banking Floor Bandar Lampung,existing,
Sumatra 2,Bengkulu,Palembang,SME Banking Floor Bengkulu,existing,
Sumatra 2,Jambi,Jambi,SME Banking Center Jambi,existing,
Sumatra 2,Padang,Jambi,SME Banking Floor Padang,existing,
Sumatra 2,Palembang Arief,Palembang,SME Banking Center Palembang,existing,
Sumatra 2,Palembang Sudirman,Palembang,SME Banking Floor Palembang Sudirman,existing,
Sumatra 2,Pangkalpinang,Palembang,SME Banking Floor Pangkalpinang,existing,
Jakarta 1,Cilegon Anyer,Tangerang,SME Banking Floor Cilegon,existing,
Jakarta 1,Jakarta Daan Mogot,Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,existing,
Jakarta 1,Jakarta Greenville,Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,existing,
Jakarta 1,Jakarta Kota,Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,existing,
Jakarta 1,Jakarta Kyai Tapa,Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,existing,
Jakarta 1,Jakarta Pluit Selatan,Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,existing,
Jakarta 1,Jakarta Pulogadung,Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,existing,
Jakarta 1,Jakarta Tanjungpriok,Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,existing,
Jakarta 1,Tangerang Bintaro,Tangerang,SME Banking Center Tangerang,existing,
Jakarta 1,Tangerang Gading Serpong,Tangerang,SME Banking Floor Gading Serpong,existing,
Jakarta 1,Tangerang Ki Samaun,Tangerang,SME Banking Floor Tangerang Ki Samaun,existing,
Jakarta 2,Bekasi Jatiwaringin,Bekasi,SME Banking Center Bekasi,existing,
Jakarta 2,Bekasi Juanda,Bekasi,SME Banking Floor Jakarta Pondok Kelapa,existing,
Jakarta 2,Jakarta Cikini,Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,existing,
Jakarta 2,Jakarta Gambir,Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,existing,
