region,area,sektor,skala_usaha,scenario,target_count
Pekanbaru,SME Banking Floor Batam,Industri Pengolahan,Kecil,N=1400,7
Pekanbaru,SME Banking Floor Batam,Konstruksi,Kecil,N=1400,2
Pekanbaru,SME Banking Floor Batam,Perdagangan,Kecil,N=1400,3
Pekanbaru,SME Banking Floor Batam,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,5
Pekanbaru,SME Banking Floor Batam,Lainnya,Kecil,N=1400,3
Pekanbaru,SME Banking Floor Batam,Lainnya,Menengah,N=1400,1
Pekanbaru,SME Banking Floor Dumai,Pertanian dan Perkebunan,Kecil,N=1400,6
Pekanbaru,SME Banking Floor Dumai,Industri Pengolahan,Kecil,N=1400,1
Pekanbaru,SME Banking Floor Dumai,Industri Pengolahan,Menengah,N=1400,1
Pekanbaru,SME Banking Floor Dumai,Perdagangan,Kecil,N=1400,3
Pekanbaru,SME Banking Floor Dumai,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,1
Pekanbaru,SME Banking Floor Dumai,Lainnya,Menengah,N=1400,1
Pekanbaru,SME Banking Center Pekanbaru,Pertanian dan Perkebunan,Kecil,N=1400,14
Pekanbaru,SME Banking Center Pekanbaru,Industri Pengolahan,Kecil,N=1400,4
Pekanbaru,SME Banking Center Pekanbaru,Konstruksi,Kecil,N=1400,1
Pekanbaru,SME Banking Center Pekanbaru,Perdagangan,Kecil,N=1400,7
Pekanbaru,SME Banking Center Pekanbaru,Perdagangan,Menengah,N=1400,1
Pekanbaru,SME Banking Center Pekanbaru,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,3
Pekanbaru,SME Banking Center Pekanbaru,Lainnya,Kecil,N=1400,5
Medan,SME Banking Center Medan,Pertanian dan Perkebunan,Kecil,N=1400,3
Medan,SME Banking Center Medan,Industri Pengolahan,Kecil,N=1400,11
Medan,SME Banking Center Medan,Konstruksi,Kecil,N=1400,5
Medan,SME Banking Center Medan,Perdagangan,Kecil,N=1400,3
Medan,SME Banking Center Medan,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,3
Medan,SME Banking Center Medan,Lainnya,Kecil,N=1400,2
Medan,SME Banking Floor Medan Imam Bonjol,Pertanian dan Perkebunan,Kecil,N=1400,6
Medan,SME Banking Floor Medan Imam Bonjol,Industri Pengolahan,Kecil,N=1400,4
Medan,SME Banking Floor Medan Imam Bonjol,Industri Pengolahan,Menengah,N=1400,3
Medan,SME Banking Floor Medan Imam Bonjol,Konstruksi,Kecil,N=1400,2
Medan,SME Banking Floor Medan Imam Bonjol,Perdagangan,Kecil,N=1400,5
Medan,SME Banking Floor Medan Imam Bonjol,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,4
Medan,SME Banking Floor Medan Imam Bonjol,Lainnya,Kecil,N=1400,1
Medan,SME Banking Floor Pematangsiantar,Pertanian dan Perkebunan,Kecil,N=1400,6
Medan,SME Banking Floor Pematangsiantar,Industri Pengolahan,Kecil,N=1400,3
Medan,SME Banking Floor Pematangsiantar,Industri Pengolahan,Menengah,N=1400,1
Medan,SME Banking Floor Pematangsiantar,Konstruksi,Kecil,N=1400,1
Medan,SME Banking Floor Pematangsiantar,Perdagangan,Kecil,N=1400,9
Medan,SME Banking Floor Pematangsiantar,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,1
Medan,SME Banking Floor Rantau Prapat,Pertanian dan Perkebunan,Kecil,N=1400,1
Medan,SME Banking Floor Rantau Prapat,Industri Pengolahan,Kecil,N=1400,1
Medan,SME Banking Floor Rantau Prapat,Konstruksi,Kecil,N=1400,1
Medan,SME Banking Floor Rantau Prapat,Lainnya,Menengah,N=1400,1
Medan,SME Banking Desk Sibolga,Industri Pengolahan,Kecil,N=1400,1
Palembang,SME Banking Floor Bandar Lampung,Pertanian dan Perkebunan,Kecil,N=1400,6
Palembang,SME Banking Floor Bandar Lampung,Industri Pengolahan,Kecil,N=1400,3
Palembang,SME Banking Floor Bandar Lampung,Industri Pengolahan,Menengah,N=1400,1
Palembang,SME Banking Floor Bandar Lampung,Konstruksi,Kecil,N=1400,1
Palembang,SME Banking Floor Bandar Lampung,Perdagangan,Kecil,N=1400,2
Palembang,SME Banking Floor Bandar Lampung,Lainnya,Kecil,N=1400,3
Palembang,SME Banking Floor Bengkulu,Pertanian dan Perkebunan,Kecil,N=1400,2
Palembang,SME Banking Floor Bengkulu,Perdagangan,Kecil,N=1400,2
Palembang,SME Banking Floor Bengkulu,Lainnya,Kecil,N=1400,1
Palembang,SME Banking Floor Bengkulu,Lainnya,Menengah,N=1400,1
Palembang,SME Banking Center Palembang,Pertanian dan Perkebunan,Kecil,N=1400,4
Palembang,SME Banking Center Palembang,Industri Pengolahan,Kecil,N=1400,2
Palembang,SME Banking Center Palembang,Konstruksi,Kecil,N=1400,2
Palembang,SME Banking Center Palembang,Konstruksi,Menengah,N=1400,3
Palembang,SME Banking Center Palembang,Perdagangan,Kecil,N=1400,3
Palembang,SME Banking Center Palembang,Lainnya,Kecil,N=1400,1
Palembang,SME Banking Floor Palembang Sudirman,Pertanian dan Perkebunan,Kecil,N=1400,4
Palembang,SME Banking Floor Palembang Sudirman,Industri Pengolahan,Kecil,N=1400,2
Palembang,SME Banking Floor Palembang Sudirman,Konstruksi,Kecil,N=1400,2
Palembang,SME Banking Floor Palembang Sudirman,Konstruksi,Menengah,N=1400,1
Palembang,SME Banking Floor Palembang Sudirman,Perdagangan,Kecil,N=1400,3
Palembang,SME Banking Floor Palembang Sudirman,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,1
Palembang,SME Banking Floor Palembang Sudirman,Lainnya,Kecil,N=1400,2
Palembang,SME Banking Floor Pangkalpinang,Pertanian dan Perkebunan,Kecil,N=1400,7
Palembang,SME Banking Floor Pangkalpinang,Industri Pengolahan,Kecil,N=1400,2
Palembang,SME Banking Floor Pangkalpinang,Konstruksi,Kecil,N=1400,1
Palembang,SME Banking Floor Pangkalpinang,Perdagangan,Kecil,N=1400,4
Palembang,SME Banking Floor Pangkalpinang,Penyediaan Akomodasi dan Penyediaan Makan Minum,Kecil,N=1400,3
Palembang,SME Banking Floor Pangkalpinang,Lainnya,Kecil,N=1400,4
Palembang,SME Banking Desk Lubuk Linggau,Pertanian dan Perkebunan,Kecil,N=1400,2
Palembang,SME Banking Desk Tanjung Pandan,Industri Pengolahan,Kecil,N=1400,1
Jambi,SME Banking Center Jambi,Pertanian dan Perkebunan,Kecil,N=1400,4
Jambi,SME Banking Center Jambi,Industri Pengolahan,Kecil,N=1400,2
