region,area,status_debitur,scenario,target_count
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Debitur,N=1400,22
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Non-Debitur,N=1400,9
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Debitur,N=1400,19
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Non-Debitur,N=1400,8
Bandung Asia Afrika,SME Banking Floor Cirebon,Debitur,N=1400,15
Bandung Asia Afrika,SME Banking Floor Cirebon,Non-Debitur,N=1400,6
Bandung Asia Afrika,SME Banking Floor Karawang,Debitur,N=1400,11
Bandung Asia Afrika,SME Banking Floor Karawang,Non-Debitur,N=1400,4
Bandung Surapati,SME Banking Center Bandung Surapati,Debitur,N=1400,9
Bandung Surapati,SME Banking Center Bandung Surapati,Non-Debitur,N=1400,4
Bandung Surapati,SME Banking Floor Sukabumi,Debitur,N=1400,5
Bandung Surapati,SME Banking Floor Sukabumi,Non-Debitur,N=1400,2
Bandung Surapati,SME Banking Floor Tasikmalaya,Debitur,N=1400,12
Bandung Surapati,SME Banking Floor Tasikmalaya,Non-Debitur,N=1400,4
Banjarmasin,SME Banking Center Banjarmasin,Debitur,N=1400,23
Banjarmasin,SME Banking Center Banjarmasin,Non-Debitur,N=1400,9
Banjarmasin,SME Banking Desk Batulicin,Debitur,N=1400,1
Banjarmasin,SME Banking Desk Batulicin,Non-Debitur,N=1400,1
Banjarmasin,SME Banking Desk Pangkalan Bun,Debitur,N=1400,1
Banjarmasin,SME Banking Desk Pangkalan Bun,Non-Debitur,N=1400,1
Banjarmasin,SME Banking Desk Sampit,Debitur,N=1400,2
Banjarmasin,SME Banking Desk Sampit,Non-Debitur,N=1400,1
Banjarmasin,SME Banking Floor Palangkaraya,Debitur,N=1400,11
Banjarmasin,SME Banking Floor Palangkaraya,Non-Debitur,N=1400,4
Bekasi,SME Banking Center Bekasi,Debitur,N=1400,17
Bekasi,SME Banking Center Bekasi,Non-Debitur,N=1400,5
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,Debitur,N=1400,14
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,Non-Debitur,N=1400,5
Denpasar,SME Banking Center Denpasar,Debitur,N=1400,15
Denpasar,SME Banking Center Denpasar,Non-Debitur,N=1400,6
Denpasar,SME Banking Desk Bima,Debitur,N=1400,3
Denpasar,SME Banking Desk Bima,Non-Debitur,N=1400,1
Denpasar,SME Banking Desk Ruteng,Debitur,N=1400,1
Denpasar,SME Banking Desk Singaraja,Debitur,N=1400,4
Denpasar,SME Banking Desk Singaraja,Non-Debitur,N=1400,1
Denpasar,SME Banking Desk Sumbawa Besar,Debitur,N=1400,2
Denpasar,SME Banking Desk Sumbawa Besar,Non-Debitur,N=1400,1
Denpasar,SME Banking Floor Kupang,Debitur,N=1400,4
Denpasar,SME Banking Floor Kupang,Non-Debitur,N=1400,1
Denpasar,SME Banking Floor Kuta Raya,Debitur,N=1400,12
Denpasar,SME Banking Floor Kuta Raya,Non-Debitur,N=1400,4
Denpasar,SME Banking Floor Mataram,Debitur,N=1400,10
Denpasar,SME Banking Floor Mataram,Non-Debitur,N=1400,4
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Debitur,N=1400,8
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Non-Debitur,N=1400,3
Jakarta Fatmawati,SME Banking Floor Bogor,Debitur,N=1400,16
Jakarta Fatmawati,SME Banking Floor Bogor,Non-Debitur,N=1400,7
Jakarta Fatmawati,SME Banking Floor Depok,Debitur,N=1400,6
Jakarta Fatmawati,SME Banking Floor Depok,Non-Debitur,N=1400,2
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Debitur,N=1400,14
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Non-Debitur,N=1400,6
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,Debitur,N=1400,7
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,Non-Debitur,N=1400,3
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,Debitur,N=1400,6
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,Non-Debitur,N=1400,3
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Debitur,N=1400,35
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,Non-Debitur,N=1400,14
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Debitur,N=1400,19
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,Non-Debitur,N=1400,6
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Debitur,N=1400,20
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,Non-Debitur,N=1400,8
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Debitur,N=1400,15
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,Non-Debitur,N=1400,6
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Debitur,N=1400,19
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,Non-Debitur,N=1400,6
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Debitur,N=1400,14
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,Non-Debitur,N=1400,5
Jakarta Melawai,SME Banking Center Jakarta Melawai,Debitur,N=1400,20
Jakarta Melawai,SME Banking Center Jakarta Melawai,Non-Debitur,N=1400,9
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Debitur,N=1400,15
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Non-Debitur,N=1400,5
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Debitur,N=1400,18
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Non-Debitur,N=1400,7
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Debitur,N=1400,15
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Non-Debitur,N=1400,6
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Debitur,N=1400,11
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,Non-Debitur,N=1400,4
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,Debitur,N=1400,12
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,Non-Debitur,N=1400,4
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,Debitur,N=1400,9
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,Non-Debitur,N=1400,4
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,Debitur,N=1400,6
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,Non-Debitur,N=1400,3
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,Debitur,N=1400,5
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,Non-Debitur,N=1400,2
Jambi,SME Banking Center Jambi,Debitur,N=1400,14
Jambi,SME Banking Center Jambi,Non-Debitur,N=1400,5
Jambi,SME Banking Desk Muara Bungo,Debitur,N=1400,1
Jambi,SME Banking Desk Muara Bungo,Non-Debitur,N=1400,1
Jambi,SME Banking Floor Padang,Debitur,N=1400,11
Jambi,SME Banking Floor Padang,Non-Debitur,N=1400,4
Jayapura,SME Banking Center Jayapura,Debitur,N=1400,8
Jayapura,SME Banking Center Jayapura,Non-Debitur,N=1400,2
Jayapura,SME Banking Desk Manokwari,Debitur,N=1400,2
Jayapura,SME Banking Desk Merauke,Debitur,N=1400,1
Jayapura,SME Banking Desk Nabire,Debitur,N=1400,1
Jayapura,SME Banking Desk Timika,Debitur,N=1400,1
Jayapura,SME Banking Floor Sorong,Debitur,N=1400,6
Jayapura,SME Banking Floor Sorong,Non-Debitur,N=1400,1
Makassar,SME Banking Center Makassar,Debitur,N=1400,11
Makassar,SME Banking Center Makassar,Non-Debitur,N=1400,5
