region,area,sektor,target_count
Pekanbaru,SME Banking Floor Batam,Industri Pengolahan,7
Pekanbaru,SME Banking Floor Batam,Konstruksi,2
Pekanbaru,SME Banking Floor Batam,Perdagangan,3
Pekanbaru,SME Banking Floor Batam,Penyediaan Akomodasi dan Penyediaan Makan Minum,5
Pekanbaru,SME Banking Floor Batam,Lainnya,4
Pekanbaru,SME Banking Floor Dumai,Pertanian dan Perkebunan,6
Pekanbaru,SME Banking Floor Dumai,Industri Pengolahan,2
Pekanbaru,SME Banking Floor Dumai,Perdagangan,3
Pekanbaru,SME Banking Floor Dumai,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Pekanbaru,SME Banking Floor Dumai,Lainnya,1
Pekanbaru,SME Banking Center Pekanbaru,Pertanian dan Perkebunan,14
Pekanbaru,SME Banking Center Pekanbaru,Industri Pengolahan,4
Pekanbaru,SME Banking Center Pekanbaru,Konstruksi,1
Pekanbaru,SME Banking Center Pekanbaru,Perdagangan,8
Pekanbaru,SME Banking Center Pekanbaru,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Pekanbaru,SME Banking Center Pekanbaru,Lainnya,5
Medan,SME Banking Center Medan,Pertanian dan Perkebunan,3
Medan,SME Banking Center Medan,Industri Pengolahan,11
Medan,SME Banking Center Medan,Konstruksi,5
Medan,SME Banking Center Medan,Perdagangan,3
Medan,SME Banking Center Medan,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Medan,SME Banking Center Medan,Lainnya,2
Medan,SME Banking Floor Medan Imam Bonjol,Pertanian dan Perkebunan,6
Medan,SME Banking Floor Medan Imam Bonjol,Industri Pengolahan,7
Medan,SME Banking Floor Medan Imam Bonjol,Konstruksi,2
Medan,SME Banking Floor Medan Imam Bonjol,Perdagangan,5
Medan,SME Banking Floor Medan Imam Bonjol,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Medan,SME Banking Floor Medan Imam Bonjol,Lainnya,1
Medan,SME Banking Floor Pematangsiantar,Pertanian dan Perkebunan,6
Medan,SME Banking Floor Pematangsiantar,Industri Pengolahan,4
Medan,SME Banking Floor Pematangsiantar,Konstruksi,1
Medan,SME Banking Floor Pematangsiantar,Perdagangan,9
Medan,SME Banking Floor Pematangsiantar,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Medan,SME Banking Floor Rantau Prapat,Pertanian dan Perkebunan,1
Medan,SME Banking Floor Rantau Prapat,Industri Pengolahan,1
Medan,SME Banking Floor Rantau Prapat,Konstruksi,1
Medan,SME Banking Floor Rantau Prapat,Lainnya,1
Medan,SME Banking Desk Sibolga,Industri Pengolahan,1
Palembang,SME Banking Floor Bandar Lampung,Pertanian dan Perkebunan,6
Palembang,SME Banking Floor Bandar Lampung,Industri Pengolahan,4
Palembang,SME Banking Floor Bandar Lampung,Konstruksi,1
Palembang,SME Banking Floor Bandar Lampung,Perdagangan,2
