region,area,target_nondebitur
Region I    - Sumatra I,Batam,6
Region I    - Sumatra I,Dumai,3
Region I    - Sumatra I,Medan Balaikota,8
Region I    - Sumatra I,Medan Imam Bonjol,7
Region I    - Sumatra I,Pekanbaru,10
Region I    - Sumatra I,Pematangsiantar,6
Region I    - Sumatra I,Rantau Prapat,1
Region II   - Sumatra II,Bandar Lampung,4
Region II   - Sumatra II,Bengkulu,1
Region II   - Sumatra II,Jambi,5
Region II   - Sumatra II,Padang,5
Region II   - Sumatra II,Palembang Arief,4
Region II   - Sumatra II,Palembang Sudirman,4
Region II   - Sumatra II,Pangkalpinang,6
Region III  - Jakarta I,Cilegon Anyer,2
Region III  - Jakarta I,Jakarta Daan Mogot,5
Region III  - Jakarta I,Jakarta Greenville,3
Region III  - Jakarta I,Jakarta Kota,2
Region III  - Jakarta I,Jakarta Kyai Tapa,2
Region III  - Jakarta I,Jakarta Pluit Selatan,7
Region III  - Jakarta I,Jakarta Pulogadung,6
Region III  - Jakarta I,Jakarta Tanjungpriok,5
Region III  - Jakarta I,Tangerang Bintaro,3
Region III  - Jakarta I,Tangerang Gading Serpong,1
Region III  - Jakarta I,Tangerang Ki Samaun,3
Region IV   - Jakarta II,Bekasi Jatiwaringin,6
Region IV   - Jakarta II,Bekasi Juanda,6
Region IV   - Jakarta II,Jakarta Cikini,4
Region IV   - Jakarta II,Jakarta Gambir,8
Region IV   - Jakarta II,Jakarta Imam Bonjol,4
Region IV   - Jakarta II,Jakarta Jatinegara,3
Region IV   - Jakarta II,Jakarta Pasar Rebo,2
Region IV   - Jakarta II,Jakarta Thamrin,3
Region V    - Jakarta III,Bogor,7
Region V    - Jakarta III,Depok,2
Region V    - Jakarta III,Jakarta Falatehan,9
Region V    - Jakarta III,Jakarta Fatmawati,3
Region V    - Jakarta III,Jakarta Plaza Mandiri,3
Region V    - Jakarta III,Jakarta Pondok Indah,6
Region V    - Jakarta III,Jakarta Sudirman,4
Region V    - Jakarta III,Jakarta Tebet Supomo,6
Region VI   - Jawa I,Bandung Asia Afrika,9
Region VI   - Jawa I,Bandung Braga,8
Region VI   - Jawa I,Bandung Surapati,4
Region VI   - Jawa I,Cirebon,5
Region VI   - Jawa I,Karawang,4
Region VI   - Jawa I,Sukabumi,2
Region VI   - Jawa I,Tasikmalaya,4
Region VII  - Jawa II,Kudus,2
Region VII  - Jawa II,Magelang,1
Region VII  - Jawa II,Purwokerto,3
Region VII  - Jawa II,Semarang Pahlawan,3
Region VII  - Jawa II,Semarang Pemuda,6
Region VII  - Jawa II,Solo,3
Region VII  - Jawa II,Tegal,3
Region VII  - Jawa II,Yogyakarta,5
Region VIII - Jawa III,Gresik,6
Region VIII - Jawa III,Jember,5
Region VIII - Jawa III,Kediri,6
Region VIII - Jawa III,Malang,6
Region VIII - Jawa III,Surabaya Basuki Rahmat,9
Region VIII - Jawa III,Surabaya Gentengkali,6
Region VIII - Jawa III,Surabaya Niaga,9
Region IX   - Kalimantan,Balikpapan,4
Region IX   - Kalimantan,Banjarmasin,10
Region IX   - Kalimantan,Palangkaraya,4
Region IX   - Kalimantan,Pontianak,5
Region IX   - Kalimantan,Samarinda,5
Region X    - Sulawesi-Maluku,Kendari Mesjid Agung,3
Region X    - Sulawesi-Maluku,Makassar,6
Region X    - Sulawesi-Maluku,Makassar Sam Ratulangi,4
Region X    - Sulawesi-Maluku,Maluku,3
Region X    - Sulawesi-Maluku,Manado,3
Region X    - Sulawesi-Maluku,Palu,3
Region X    - Sulawesi-Maluku,Pare-Pare,3
Region XI   - Bali-Nusa Tenggara,Bima,1
Region XI   - Bali-Nusa Tenggara,Denpasar,6
Region XI   - Bali-Nusa Tenggara,Kupang,2
Region XI   - Bali-Nusa Tenggara,Kuta Raya,5
Region XI   - Bali-Nusa Tenggara,Mataram Cakranegara,3
Region XI   - Bali-Nusa Tenggara,Singaraja,1
Region XII  - Papua,Jayapura,3
Region XII  - Papua,Sorong Ahmad Yani,1
